Tom can't come in.	Tom kać bolo daea.
The tornado destroyed the whole village.	Horlosi te goṭa Hatu raput́ chaba eana.
Jainism came into prominence during the life of its exemplar, Mahavira.	Jainism do ena ren exemplar Mahavira jiwt́ len re prominent ean taekena.
Important tributaries of the Ganges include the Yamuna and the Kosi; the latter's extremely low gradient, caused by long-term silt deposition, leads to severe floods and course changes.	Ganga gaṛaaḱ important Tributary ko re Yamuna,, Kosi ko lekaoḱa; sipirmaoḱge Tilat́ duṕ duṕ te hoba akan Kosi aḱ extremely-low-gradient te severe bán anḍoḱ gaṛa reaḱ Course change ko hobana.
Do you think Tom will reach the top of the mountain?	Alam har iriêća.
I know you're going to say no.	Adaanań kaagem menêa.
Come eat!	Ela jomê pe!
That's a nice village.	Ena esu bugi lekan Hatu.
I do not think that she is at home.	Oaḱ re menać leka do kań adaêa.
Mary gingerly lifted the creature out of the box and placed it on the floor.	Mary evn met́ akaa te en Jivt́ićeć tul rakaṕ ket́ića anḍoḱ Oaḱòte reć em ket́ića.
Shut up!	Hapann ben!
Simultaneously, the vast Tethyan oceanic crust, to its northeast, began to subduct under the Eurasian Plate.	Ena ko hoban tan imita ge, India aḱ northeast ren maraṅ lekan Tethyan oceanic crust do Eurasian Plate latar re subduct eṭeḱ eana.
He always wears black clothes.	Ać jaoge hende Lijaḱ kogeć tusiṅêa.
Pervasive and pernicious deviations from both fact and logical validity lurked behind a meretricious plausibility.	Fact anḍoḱ Logical Validity, banar aetenn nitir taáṕoḱ anḍoḱ maáura lekann Horabanage ko, pasáchaákat́ Plausibility danaṅ re uku akana.
The rights promised to Indians were granted slowly, but technological changes were introduced, and modern ideas of education and the public life took root.	India renko taḱ promise len rights ko do mãe mãe te em eana, mendo technological Change ko introduce eana, anḍoḱ education anḍoḱ public Life reaḱ modern Idea ko bit́ keṭeć eana.
Precisely!	Ena geda!
French surgeon Serge Aroles, however, has persuasively argued that the case was a fraud, perpetrated by Singh in order to raise money for his orphanage.	France ren Surgeon Serge Aroles mendo, en case do, Singh taćaḱ Orphanage lagit́ Funding harom aágu lagit́ uskur let́ Fraud mente persuasively ć argue akat́a.
Come dance!	Ela susun ben!
The Dravidian languages of India were supplanted in the northern and western regions.	India aḱ northern anḍoḱ western Region ko ren Dravidian language ko do supplant eana.
We are eating.	Jom tanalaṅ.
He always wears black clothes.	Enić jaoge hende Lijaḱ kogeć tusiṅêa.
What are you looking for?	Chenaḱpe nam tana?
As you say.	Ape kajiê leka ge.
India's telecommunication industry is the second-largest in the world with over 1.2 billion subscribers.	1.2 Billion Subscriber ko loḱ te, India aḱ Telecommunication Industry do Otesae baáraḱ-maraṅa.
We do not inherit the earth from our ancestors, we borrow it from our children.	Nen Ote do, Hapaam ko taḱ aete kabu tala namêa, Hon ko taḱ aetebu asi namêa.
Am I racist?	Racist geań chi?
That man looks like Tom.	En hoo Tom lekać neloḱa.
She'll probably tell him she's sleepy.	Duumiń tana' -menteć kajiaća toraṅ.
Is your blood pressure high?	Mayom Pressure tamm high gea chi?
I have a headache.	Bohḱ hasuń tana.
Are you all right?	Bugi gepea chi?
You have many books.	Am taḱ sange Kitaṕ ko menaḱa.
Marriage has a higher regret rate than gender-affirming care.	Gender-affirming Care reaḱ Regret Rate do Aandi reaḱ aeteó láḱa.
Do you have a car?	Am taḱ Car menaḱa?
Let's ask them.	Dolabu kulikina.
Biodiversity	Biodiversity
Can I take a picture of you?	Photo m redoń?
Are you on Facebook?	Facebook re menaḱpea?
What are you thinking about?	Chenaḱm uṛuḱoḱ tana?
Sami recommended Layla to the professor.	Sami Professor taḱ re Layla ć recommend ket́ića.
Does Tom know French?	Tom French eć adaana chi?
Are you married?	Aandi akanam?
Close the door.	Silpiń handet́ taa pe.
Man has many wishes that he does not really wish to fulfil, and it would be a misunderstanding to suppose the contrary. He wants them to remain wishes, they have value only in his imagination; their fulfilment would be a bitter disappointment to him. Such a desire is the desire for eternal life. If it were fulfilled, man would become thoroughly sick of living eternally, and yearn for death.	Sarite do kać asari sanaṅ lekan sange Sanaṅ koa hoo taḱ rea, nena reaḱ Sirkat́ ge suppose ê re ena do Misunderstanding ge menoḱa. En Sanaṅ ko Sanaṅ leka ge taeoḱkâć sanaṅa, enako aćaḱ Unuḍuḱ rege Gonoṅana; enako reaḱ Anasari do aćaḱ lagit́ heben-mér Dissapointment ge. Joroṅjinivt́ reaḱ Sanaṅ do miat́ enkan Sanaṅ ge. Ena sarioḱ redo honaṅ, hoo do joroṅ jivt́ teć malgeć utaroḱa, anḍoḱ Gonoćeć asi tangia.
He climbed to the peak of the mountain.	Butu Chuṭić deć rakaṕ eana.
You've gained weight.	Hambal eanam.
I don't know what year he was born.	Okon sirmać unduṕ lena kań adaana.
If throughout your life you abstain from murder, theft, fornication, perjury, blasphemy, and disrespect toward your parents, your church, and your king, you are conventionally held to deserve moral admiration even if you have never done a single kind or generous or useful action.	Goṭa Jinivt́ tamm Hoogoć,, Kumbuu,, Hapar,, Chanakat́ anḍoḱ amaḱ Engaàpu kinaḱ,, amaḱ Church reaḱ,, anḍoḱ amaḱ Rajaaḱ Disrespect aetem kaṭaṕenn redo, jah musiṅg ó miat́ kind chi generous chi useful teaḱ kam Paeṭi akat́ reó, convention lekate am do Moral Admiration emokoḱnić lekam lekaoḱa.
He refused any food given to him and died shortly after being found.	Aćkô emat́ Jomaḱ ko kaćaḱ eana anḍoḱ nam len tayom ge chimin singi aurioḱ regeć goć eana.
These included the consolidation and demarcation of sovereignty, the surveillance of the population, and the education of citizens.	Ena ko re sovereignty reaḱ consolidation anḍoḱ demarcation, hoo koaḱ surveillance anḍoḱ citizen koaḱ education ó mesa akana.
This village is mine!	Nena ańaḱ Hatu!
What does he do?	Chenaḱkin paiṭia.
We do not inherit the earth from our ancestors, we borrow it from our children.	Nen Ote, Hapaam ko taḱ aetebu tala namê teaḱ do káa, Hon ko taḱ aetebu asi teaḱa.
By the early 18th century, with the lines between commercial and political dominance being increasingly blurred, a number of European trading companies, including the English East India Company, had established coastal outposts.	18th century eteoṕ loḱ do, commercial anḍoḱ political dominance tala ren panaa gaar ẽeć tersaoḱ tan loḱ, English East India Company mesa keet́aḱ Europe aḱ sangi trading company ko patukam kuṭi (coastal) outpost kokô establish sekaa let́ taekena.
Yes.	É.
Look!	Nelê pe!
Is it yours?	Ena apeaḱ chi?
We need to find someone to help Tom.	Tom dengaćnićbu namić teaḱ menaḱa.
Do you have a cellphone?	Ape taḱ Cellphone menaḱa?
I don't have enough money to go to Boston.	Boston senoḱ imin Puisa banoḱa tań.
Why do people do bad things?	hoo ko chenaḱmente et́kanaḱkô paiṭiêa?
Yanni shot and missed his heart.	Yanni Surt́ taćć toḍe pocha ket́a.
India was then no longer exporting manufactured goods as it long had, but was instead supplying the British Empire with raw materials.	India aete anḍoḱ do sêdae re sipirmaoḱ ge taeken leka manufactured good ko do kaa export oḱ taekena, ena sati, British ko raw material ko supply oḱ taekena.
My family had already eaten dinner by the time I got home.	Oaḱń beṭaê loḱ do Oaḱ ren ko Dinner kô jom antaa let́a.
I like languages.	Eṭaḱ-eṭaḱ Jagar koń sukutea.
Come and dance with me!	Ela ań loḱ susun ben!
Back in high school, I got up at 6 a.m. every morning.	High School redo, jao Setaḱ 6 a.m. reń birit́ kena.
Prior to the 1600s, feral and wild children stories were usually limited to myths and legends.	1600 ko maaṅ do, Birbagehon koaḱ Story ko do usually Myth,, Legend ko jóṅ ge taekena.
The study of bacteria is known as bacteriology, a branch of microbiology.	Bacteria ko reaḱ Study do, Microbiology ren miat́ koto Bacteriology menoḱa.
Hindustan ([ɦɪndʊˈstaːn]) do 13th-century re popular len taeken India aḱ Middle-Persian Nutum, ena Mughal-Empire-period aete saben muli agu joṅo taekena.	Hindustan ([ɦɪndʊˈstaːn] ⓘ) is a Middle Persian name for India that became popular by the 13th century, and was used widely since the era of the Mughal Empire
The bus passed five minutes ago.	Bus do moe Minute ayar te parom eana.
Tom took out some coins and gave them to the old man.	Tom Coin koć onḍoṅ ket́a anḍoḱ en haam Hooć emat́a.
When the Chalukyas attempted to expand southwards, they were defeated by the Pallavas from farther south, who in turn were opposed by the Pandyas and the Cholas from still farther south.	Chalukya ko south paa teko expand lekead re anḍoḱ saniṅ south ren Pallava ko taḱaeteko haratiṅ eana, anḍoḱ neko ó anḍoḱ láḱ saniṅ south ren Pandya anḍoḱ Chola ko darom kedkoa.
Do you feel OK today?	Tisiṅ bugim adaê tana chi?
Are you guys Choctaw?	Ape Coktaw ko chi?
Bacteria (/bækˈtɪəriə/; sg.: bacterium) are ubiquitous, mostly free-living organisms often consisting of one biological cell.	Bacteria ko (/bækˈtɪəriə/; sg.: bacterium) do, often miat́ ge biological Jivt́okoaann (Cell), ubiquitous,, sangepaa do free-living Organism ko.
The ancient Romans called this day the Ides of May.	Ancient Roman ko nen Musiṅg 'Ides of May' kô metat́a.
I've visited the village.	En Hatuń sen akana.
"I found one day in school a boy of medium size ill-treating a smaller boy. I expostulated, but he replied: ""The bigs hit me, so I hit the babies; that's fair."" In these words he epitomized the history of the human race."	"Musiṅg School re miat́ tala Mataraṅ ren Koahon miat́ huḍiṅ noḱ genn Koahoneć sasatieć tan geń nam let́ića. Peeć teń kaji darom ket́ića, mendo ać kaji uraa ket́a: ""Maraṅ ko rúńa, enamente Huḍiṅhon koń rúkôa; nena do fair gea."" Ać nen Kaji re ge, Human Race reaḱ History ć sagom tol ket́a."
I am in Tokyo today.	Tisiṅ Tokyo re menaḱńa.
India's defining geological processes began 75 million years ago when the Indian Plate, then part of the southern supercontinent Gondwana, began a north-eastward drift caused by seafloor spreading to its south-west, and later, south and south-east.	India aḱ defining geological process ko do, 75 million sirma maaṅ re, en imita southern supercontinent Gondawana aḱ part taeken Indian Plate, seafloor south-west paa te, anḍoḱ tayom ko do south,, south-east paa te udur aguoḱ tan te north-east paa te usa eoṕ ean re eoṕ lena.
I run quickly.	Ãachań nir daea.
She's shouting your name.	Amaḱ Nutumeć iuê tana.
Why are you angry?	Chikatem rágo akana?
Everything is going well.	Sabenaḱ bugin ge sesen tana.
In the 15th century, the Vijayanagara Empire created a long-lasting composite Hindu culture in south India.	15th-century re, Vijayanagara-Empire renko south-India re long-lasting-composite-Hindu-culture ko bai ket́a.
Are you in London?	London remea chi?
Show me again.	anḍoḱ misa uduṕań ben.
Ziri got no response.	Ziri do Telakaji kać nam ket́a.
Until 1991, all Indian governments followed protectionist policies that were influenced by socialist economics.	1991 jooṅ do, sanam India aḱ Government ko, Socialist Economy ko te influence len Protectionist Policy ko saṕ otoṅ let́a.
Claudio was driving a dark blue car.	Claudio do dark blue Car eć har let́ taekena.
How are you?	Chilika menaḱbena?
According to the Worldwide Cost of Living Report 2017 released by the Economist Intelligence Unit (EIU) which was created by comparing more than 400 individual prices across 160 products and services, four of the cheapest cities were in India: Bangalore (3rd), Mumbai (5th), Chennai (5th) and New Delhi (8th).	160 Product anḍoḱ Service ko tala re 400 aete ó láḱ Individual Price ko umaa keet́ bai len,, Economist Intelligence Unit (EIU) paa aete release len 2017 Worldwide Cost of Living Report lekate, Cheapest City ko re upunea do India rege taekena: Bangalore (3aḱ), Mumbai (5aḱ), Chennai (5aḱ) and New Delhi (8aḱ).
Do you have a car?	Ape taḱ Car menaḱa?
Where did she learn to sing the blues?	Blues do okon reć duraṅ eto ket́a?
Do you want to help?	Dengańape?
Are you Japanese?	Japan ren ko tanape?
The second boy (1341) resisted capture, biting and scratching; he continued to run on all four limbs and hid under a bench.	Second Koahon do (1341), ká saṕ ichinneć nam kena, huaḱ gotaḱ kenać, otetí akan te geć nir baa kena anḍoḱ Bench suba reć ukunn eana.
Show me again.	anḍoḱ misa uduṕań pe.
To the south, the remaining peninsular landmass, the Deccan Plateau, is flanked on the west and east by coastal ranges known as the Western and Eastern Ghats; the plateau contains the country's oldest rock formations, some over one billion years old.	South re, sareć akan pensular landmass Deccan Plateau do, west,, east re, Western,, Eastern Ghats menoḱ coastal range te aṭangi akana; en plateau re nen disum aḱ mariutar sereṅ formation ko menaḱa, ena re chiminaṅ do mit́ billion sirma maria.
Why are you sad?	Chikateben duku akana?
You aren't a carpenter, are you?	Am do Carpenter káa, kachia?
Proclaiming a unitary state and a gradual but limited British-style parliamentary system, the new rulers also protected princes and landed gentry as a feudal safeguard against future unrest.	Unitary state anḍoḱ mãe mãe te limited British parliament system proclaim keet́, nen nama ruler ko prince anḍoḱ ote hasa an land gentry ko kapalomaḱ unrest aeten safeguard leka ko protect ledkôa.
Look over there.	Haneè!
Stop!	Hokaê pe!
Furthermore, many criticize negative eugenics in particular as a violation of basic human rights, seen since 1968's Proclamation of Tehran, as including the right to reproduce.	Furthermore, 1968 aḱ Tehran Proclamation tayom, basic human rights re reproduction reaḱ right ó menaḱ gea mente nel ean te, sangê hoo ko negative Eugenics do ena reaḱ violation tana mentekô criticise ket́a.
Who's on duty tonight?	Tisiṅg Nida okoć Duty reića?
What do you know about dogs?	Seta ko reaḱ chenaḱm adaana?
In 2005 he was killed in a fire.	2005 re, Sengel teć ló goć eana.
My sister has ginger hair.	Unḍińkuiaḱ Bohḱbale araḱ chambaraà.
Do you think Tom will reach the top of the mountain?	Tom do Buruchuṭić beṭaê lekam adaê tana?
Everyone charged with a penal offence has the right to be presumed innocent until proved guilty according to law in a public trial at which he has had all the guarantees necessary for his defence.	Penal Offense te charge akan saben ko ge, takoaḱ Defence lagit́ asitińoḱ saben Guarantee em yan Public Trial re, Law lekate Guilty aurikô uduṕbit́oḱ jooṅ, Innocent mente nelmenoḱ teaḱ Right menaḱa.
I like you.	Amań sukua tana.
Say it again.	anḍoḱ misa kajiêpe.
Do what is good to those who hate you.	Kaa bugiben tan koó bugiko ben.
Ziri was the village hero.	Ziri Hatu ren Hero lenać.
If you live at a higher altitude, water boils at a lower temperature.	Chetan noḱ Altitude rem taenn redo, Daḱ latar noḱ Temperature re basaṅoḱa.
In the Indian Ocean, India is in the vicinity of Sri Lanka and the Maldives; its Andaman and Nicobar Islands share a maritime border with Thailand, Myanmar, and Indonesia.	India aḱ Andaman Nicobar Island koaḱ do Thailand, Myanmar, Indonesia loḱ maritime Chirmit́ menaḱa.
Buddhism, based on the teachings of Gautama Buddha, attracted followers from all social classes excepting the middle class; chronicling the life of the Buddha was central to the beginnings of recorded history in India.	Gautama Buddha aḱ teaching chetan bit́ akan Buddhism paa te, middle-class bage keet́ saben social-class ren ko or idi len taekena; Buddha aḱ life reaḱ chronicling do India aḱ recorded-history reaḱ eneoṕ re central Role taekena.
I am in Tokyo today.	Tisiṅ Tokyo reńa.
Hello!	Chige!
The Indian early medieval age, from 600 to 1200 CE, is defined by regional kingdoms and cultural diversity.	600 aete 1200 CE, India aḱ Early Medieval Age do, regional kingdom ko anḍoḱ cultural diversity te nutum len taekena.
Around the 20th century, psychologists were attempting to differentiate between biological behavior and culture.	20th century naaćpaa, Psychologist ko Biological Behaviour anḍoḱ Culture urumsapaniṅê teaḱkô attempt let́a.
They brought umbrellas.	Chatom kokô agu ket́a.
Are you awake?	Evn akanam?
May I smoke here?	Nentaḱ reń moḱsiṕ redo?
It isn't gold.	Ena Samaom do kaa.
Come and dance with me!	Ela ań loḱ susun pe!
There's no scientific explanation for this.	Nena reaḱ jahn Science lekatenn Explanation banoḱa.
The adoption of progressive policies to mitigate climate change impacts and promote renewable energy underscores Algeria's commitment to global environmental stewardship.	Climate Change reaḱ Etelaṅ ko adit́ raábal anḍoḱ Namaruaadaeoḱ Energy udur teérsa Policy ko reaḱ Agusanaṕ te, Otesai Environment Stewardship lagit́ tenn Algeria aḱ Commitment uduṕ chetanoḱ tana.
"Most bacterial species exist as single cells; others associate in characteristic patterns: Neisseria forms diploids (pairs), streptococci form chains, and staphylococci group together in ""bunch of grapes"" clusters."	"Láḱpaa Bacteriahita do Single Cell lekakô taena; eṭaḱ ko do Characteristic Pattern ko rekô jumurena: Neisseria do Diploid (Jimki) kô baina, Streptococci do Sinkii kô baina, anḍoḱ Staphylococci do ""Ićtayar Rumpa"" lekakô hunḍina."
Modern India	Modern India
You can't retire yet.	Kam retire daea auri.
Antonio was nearly caught by his wife.	Antonio do Êra taḱć saṕ choṭeć eana.
Why are you dancing?	Chikatem susun tana?
No mountain in Japan is higher than Mt. Fuji.	Japan ren jahn Buru ó Fuji Buru aete ká usula.
Do you speak English?	English ben jagar adaana?
Why are you angry?	Chikatepe kurkur akana?
Are you all right?	Bugi gema chi?
The question was taken seriously as science tried to name and categorize the development of humans, and the understanding of the natural world in the 18th and 19th century.	18th,, 19th century re Science re Hooharamanaraṅ (human development) nutumê anḍoḱ haṭińòkoaê (categorize) teaḱ,, Natural World munḍiê teaḱ attempt taeken loḱ, nen Kunuli do seriously ataṅ ean taekena.
If language input does not occur until after this time, the individual will never achieve a full command of language.	Language Emànader nen Period tayom enaṅ hoban redo, enić Language reaḱ full command jaa musiṅ ó kać achieve renáêa.
Act like adults.	Maraṅ ko leka taenn pe.
I am at home.	Oaḱ re menaḱńa.
I personally believe that U.S. Americans are unable to do so because, uh, some people out there in our nation don't have maps and, uh, I believe that our, uh, education like such as in South Africa and, uh, the Iraq, everywhere like such as, and, I believe that they should, our education over here in the U.S. should help the U.S., uh, or, uh, should help South Africa and should help the Iraq and the Asian countries, so we will be able to build up our future, for our children.	Ań eskar reaḱ uḍuḱ lekate, U.S. American ko kakô enka daea, enado, ââ, abu Disum re menaḱkô chiminaṅ hoo ko taḱ Map ko banoḱ te, anḍoḱ, ââ, ańaḱ uḍuḱ lekate, abuaḱ, ââ, Education, South Africa re leka, anḍoḱ, ââ, Iraq, enka sabentaḱ re leka, anḍoḱ, ańaḱ uḍuḱ lekate, ako do honaṅ, abu nentaḱ U.S. reaḱ Education te do U.S. ren ko ge dengaoḱ teaḱ ge, ââ, baredo, ââ, South Africa ren ko dengaoḱ teaḱ ge, anḍoḱ, Iraq ren ko dengaoḱ teaḱ ge, anḍoḱ eṭaḱ Asia aḱ Disum ko dengaoḱ teaḱ ge, enate, abuaḱ Hon ko lagit́ abuaḱ Kanalombu bai rakaṕ daea.
They have nothing left.	Akin taḱ Jahnaḱ kaa sareć akana.
Thank you!	Bithiyem!
The earliest life on land may have been bacteria some 3.22 billion years ago.	Hasaòte ren ayarùtar Jinivt́ do, 3.22 Billion Serma noḱ maaṅ re taeken Bacteria koge toraṅ.
I gagged.	Ulaê lekań rika eana.
Do you know what the differences between emoticons and emojis are?	Emoticon anḍoḱ Emoji tala reaḱ Sapaniń dom adaana chi?
How long have you been here for?	Nentaḱ chimin sirma aeteben taenn tana?
It has disputes over Kashmir with its neighbours, Pakistan and China, unresolved since the mid-20th century.	Neighbour ren Pakistan anḍoḱ China loḱ 20th century aete unresolve akan Kashmir reaḱ dispute menaḱ akat́ gea.
Instead of going into a care facility, he went to live with vervet monkeys.	Care Facility te senoḱ sati, Vervet Gai ko loḱ taeneć senoḱ eana.
Father is waiting.	Apu tangi tanać.
That's easy to explain.	Ena do lavar te explain daeoḱa.
Is that what Yanni wants?	Yanni do ena geć sanaṅ tana chi?
Look at this.	Neè nelê pe.
They are even found in the atmosphere and one cubic metre of air holds around one hundred million bacterial cells.	Enko do, Hoyopai (Atmosphere) reó menaḱkôa, mit́ cubic metre Hoyo re mit́ Hundred Million leka Bacteria Jivt́okoa ko taena.
Tom broke something again.	Tom onḍoḱ ge chenaḱ koć raput́ ket́a.
Let's ask them.	Dolabu kulikoa.
Where are you from?	Am okon renić?
I miss the village.	Hatu paa esu uḍuḱńa.
Did you buy the pomegranate juice?	Pomegranate Rasim kiriṅ ket́a chi?
The most common fatal bacterial diseases are respiratory infections.	Most common goóć Bacteriarua (Bacterial Diseases) kodo Saet́hora Chaálrua (Respiratory Infections) ko.
From being a comparatively destitute country in 1951, India has become a fast-growing major economy and a hub for information technology services, with an expanding middle class.	1951 sirma ren miat́ comparatively ringâ-rengeć disum aete, India do nahḱ ãacha tersaoḱ tan major-economy anḍoḱ osaroḱ tan middle-class menaḱ Information Technology Service ren Hub akana.
Where is your father?	Abenaḱ Baṅ tekin okon rekina?
Tom was very scared.	Tom esuć boro let́a.
No ruler of this period was able to create an empire and consistently control lands much beyond their core region.	Nen period ren jaan ruler ko ó empire bai keet́ akoaḱ core Region aete láḱ ote consistantly kakô control daeada.
The world is a village.	Nen Otesae do miat́ Hatu.
"Such programs included both positive measures, such as encouraging individuals deemed particularly ""fit"" to reproduce, and negative measures, such as marriage prohibitions and forced sterilization of people deemed unfit for reproduction."	"Enkan program ko re, reproduction lagit́ particularly ""fit"" ge nel ean ko encourage ko lekan positive measure ko ó taekena anḍoḱ reproduction lagit́ unfit ge nel ean koaḱ forced sterilisation,, marriage prohibition ó taekena."
An initial medical examination conducted in September showed the elephant’s nails had cracked and were overgrown due to improper care and an insufficient enclosure with flooring that damaged its feet.	Ká proper ann Nelsapaṕ te, anḍoḱ Kaṭa tać damage ê tan ká soóṕ Eneset́pai te, Hatiaḱ Sarsar chaṭaḱ len taekena, anḍoḱ hara láḱ lena, -mente, September re rika len Initial Medical Examination te uduṕ marsal eana.
Leave me alone!	Bage tań me!
Time has no divisions to mark its passage, there is never a thunderstorm or blare of trumpets to announce the beginning of a new month or year. Even when a new century begins it is only we mortals who ring bells and fire off pistols.	Time reaḱ Panarom bal rikaê lagit́ ena rege do jah lekan Hanaṭiń Gár ko banoḱa, nama chanḍuḱ baredo nama sirma reaḱ Eneṭeć ḍakaraê lagit́ musiṅg ó Hoyohichir chi Trumpet reaḱ pẽ́t́-pẽ́t́ do ká hobana. Miat́ nama Century eṭećoḱ reó ge, abu Hasa subaoḱ hoo ko sekar Ṭinṭinaḱ kobu saḍiêa,, Pistol kobu ṭulêa.
Let's work.	Dolabu paitiêa.
Mom is going to town.	Má Town eć senoḱ tana.
He burned the village.	Haruć uruṕ ket́a.
Very dense forest, whose canopy density is greater than 70%, occupies 3.02% of India's land area.	Daruhuṉulsuṕìnibil (canopy density) 70% aete láḱann very dense forest do, India Otebinilaḱ 3.02% hobaoḱa.
Tom is busy now, so he can't talk with you.	Tom nahḱ Paiṭi rića, am loḱ kać jagar daea.
Nancy looks so tired.	Nancy do esu laga akan geć neloḱ tana.
Look here.	Nepaa nelê pe.
Am I eligible?	Eligible geań chi?
Why didn't you run?	Chenaḱ mente kam nir ket́a?
You danced.	Susun kenaben.
Bacteria can also group to form larger multicellular structures, such as the elongated filaments of Actinomycetota species, the aggregates of Myxobacteria species, and the complex hyphae of Streptomyces species.	Bacteria do Actinomycetota Hita koaḱ jiliṅ Filament, Myxobacteria Hita koaḱ Aggregate, anḍoḱ Streptomyces Hita koaḱ Complex Hyphae leka láḱ maraṅ Multicellular Structure ókô bai daea.
I know you are struggling.	Kurumuṭunn tanapeń adaana.
The sultanate was to control much of North India and to make many forays into South India.	En Sultanate te ge goṭa noḱ North India control lena, anḍoḱ ena te ge South India chetan te sangi dao attack hoba lena.
Bring oil and turmeric.	Sunum,, Sasaṅ aguê me.
I'll probably get fired if I don't do that.	Nena kań paeṭiê rekô har enḍaḱńa toraṅ.
Tom should've talked to Mary.	Tom do Mary ić jagar kat́ić teaḱ ge honaṅ.
Tom cussed.	Tom mage ket́ać.
Bacteria also live in mutualistic, commensal and parasitic relationships with plants and animals.	Bacteria kodo, Sińjivt́ (Plants) anḍoḱ Senêjivt́ (Animals) ko loḱ mutualistic,, commensal,, parasitic Relationship reókô taena.
The impaired ability to learn a natural language after having been isolated for so many years is often attributed to the existence of a critical period for language learning, and taken as evidence in favor of the critical period hypothesis.	Esu sirma tannga sangin len taeken te, Naturaljagar Etondanae impair janaḱ lagit́ do, often Jagarèneto reaḱ critical period menaḱ menteaḱ ge Reason menoḱa, anḍoḱ ena ge Critical Period Hypothesis lagit́aḱ Evidence lekate uduḱ joṅoḱa.
I cried reading this book.	Nen Kitab paṛaoket́ teń raḱ ket́a.
In an age of increasing urban wealth, both religions held up renunciation as an ideal, and both established long-lasting monastic traditions.	Urban wealth saaroḱ tan time Period re, nen barea religion re renunciation ge ideal mente rikâ lena, anḍoḱ en barea rege long-lasting monastic Tradition establish eana.
According to the metacognitive explanation, poor performers misjudge their abilities because they fail to recognize the qualitative difference between their performances and the performances of others.	Metacognitive explanation lekate, poor performer ko, takoaḱ performance oḍoḱ eṭaḱ koaḱ performance tala ren qualitative sapaniṅ kakô urum dae te, takoaḱ ability kô misjudge êa.
They often seem mentally impaired and have almost insurmountable trouble learning a human language.	Enko often Hataṅimpair akan ge ko neloḱa, anḍoḱ, Hoojanagar (human language) eton re káparomdaeoḱ noḱ trouble taena.
Although at first disruptive for the Indian elites, the sultanate largely left its vast non-Muslim subject population to its own laws and customs.	Although at first disruptive for the Indian elites, the sultanate largely left its vast non-Muslim subject population to its own laws and customs.
Have you washed the dishes?	Bela kom gasar ket́a chi?
Let's divide the check between us.	Cheque do bar Hoo relaṅ haṭinêa.
How did you like Boston?	Boston chilikape sukuat́a?
I want to run.	Nir sukuń tana.
Why are you angry?	Chikatepe rágo akana?
Bacteria are microorganisms.	Bacteria do Manjivt́ ko.
I am not married yet.	Kań aandi akan gea.
Tom said he wanted to play tennis this morning.	Tom tisiṅ Setaḱ Tennis inuṅ sanaṅiń tanać men ket́a.
This book will never be published again.	Nen Sapagom do anḍoḱ jahchiula ó ká publish oḱa.
History of bacteriology.	Bacteriology reaḱ History.
Leave me alone!	Bage tań ben!
There are thought to be approximately 2×1030 bacteria on Earth, forming a biomass that is only exceeded by plants.	Siń ko sekar láḱ parom akaat́ Biomass baái nen Bacteria ko, Ote chetan approximately 2×1030 menaḱkôa mente leka bai akana.
How far is the village?	Hatu chimin saniṅa?
"In the Netherlands, it is the custom that, when during the construction of a house the highest point has been reached and the roof is ready for tiling, the client treats the construction workers to so-called ""tile beer"" to celebrate this. A flag is then placed on the ridge of the house. If the client is too stingy to treat, not a flag, but a broom is placed."	"Netherlands re, Oaḱ baioḱ tan re, Chuṭi jooṅ bai beṭa yan aete Saṛima do Kechoḱ te daṕoḱ leka taen re, ena celebrate lagit́, Client, nutumènkan ""tile beer"" nú te Construction Worker koć keaakô teaḱ Custom menaḱa. Enaete Oaḱjangi re miat́ Hoyolijaḱ bit́oḱa. Client esuć kuṭu ge redo, Hoyolijaḱ ká, Jonoḱ bit́oḱa."
In the Punjab, Sikhism emerged, rejecting institutionalised religion.	Punjab re, institutionalised-religion reject ê tan Sikhism ooḱl eana.
Are you Japanese?	Japan ren kin tanaben?
I sell land.	Oteń akarińa.
Between 2001 and 2011, the contribution of petrochemical and engineering goods to total exports grew from 14% to 42%.	2001 aete 2011 sirma tala re, Total Export re Dirisunumchemical (Petrochemical) anḍoḱ Engineering Goods koaḱ Share do 14% aete 42% jooṅ láḱ beṭa eana.
Your sentences are the only ones which should be translated on this site.	Nen Site re translate oḱ teaḱ ge do amaḱ Sentence ko sekar.
Santali is the third most-spoken Austroasiatic language after Vietnamese and Khmer.	Santali do, Vietnamese,, Khmer tayom, apéaḱ sangeùtar jagaroḱ Austroasiatic Janagar.
We are in the same class.	Miad Class rege menaḱbua.
The critical period hypothesis is derived from the concept of a critical period in the biological sciences, which refers to a set period in which an organism must acquire a skill or ability, or said organism will not be able to acquire it later in life.	Critical Period Hypothesis do, jahn Organism reó, miat́ Set Period loḱ jahn Skill,, Danaeć eton te hobana, baredo tayomaḱ Taesirma ko kać eto daea menten Biological Sciences ren Critical Period Concept aete derive akana.
Viruses are much smaller than bacteria.	Virus ko do Bacteria aete ó esu renákô huḍińa.
Do you feel OK today?	Tisiṅ bugipe adaê tana chi?
Major exports include petroleum products, textile goods, jewellery, software, engineering goods, chemicals, and manufactured leather goods.	Major Exportaḱ kore, Dirisunum Product, Textile Goods, Jewellery, Software, Engineering Goods, Chemical anḍoḱ Manufactured Leather Goods leka mesaoḱa.
